Date,Player,SO_Prop
5/20/2023 16:05,Alex Faedo,3.5
5/20/2023 16:05,Brandon Pfaadt,4.5
5/20/2023 16:05,Braxton Garrett,4.5
5/20/2023 22:10,Chris Sale,5.5
5/20/2023 15:07,Grayson Rodriguez,4.5
5/20/2023 16:10,Hunter Brown,6.5
5/20/2023 16:10,JP Sears,4.5
5/20/2023 16:05,Jameson Taillon,3.5
5/20/2023 22:10,Joe Musgrove,5.5
5/20/2023 16:05,Jon Gray,5.5
5/20/2023 14:10,Jordan Lyles,4.5
5/20/2023 16:05,Kyle Freeland,4.5
5/20/2023 16:05,Logan Webb,5.5
5/20/2023 22:07,Louie Varland,5.5
5/20/2023 14:10,Lucas Giolito,6.5
5/20/2023 16:10,Max Scherzer,5.5
5/20/2023 19:15,Miles Mikolas,4.5
5/20/2023 16:05,Mitch Keller,5.5
5/20/2023 19:15,Noah Syndergaard,3.5
5/20/2023 16:05,Patrick Corbin,4.5
5/20/2023 22:07,Patrick Sandoval,5.5
5/20/2023 16:10,Tanner Bibee,4.5
5/21/2023 16:05,Alex Wood,4.5
5/21/2023 14:35,Andrew Heaney,6.5
5/21/2023 14:15,Clayton Kershaw,6.5
5/21/2023 14:35,Connor Seabold,3.5
5/21/2023 16:10,Corey Kluber,4.5
5/21/2023 13:37,Dean Kremer,4.5
5/21/2023 14:10,Framber Valdez,7.5
5/21/2023 13:40,Freddy Peralta,5.5
5/21/2023 13:35,George Kirby,4.5
5/21/2023 11:35,Hunter Greene,6.5
5/21/2023 14:15,Jack Flaherty,5.5
5/21/2023 14:10,James Kaprielian,4.5
5/21/2023 13:35,Jared Shuster,4.5
5/21/2023 16:05,Jesus Luzardo,6.5
5/21/2023 13:35,Joey Wentz,4.5
5/21/2023 13:35,Josiah Gray,5.5
5/21/2023 13:35,Justin Steele,5.5
5/21/2023 13:37,Kevin Gausman,6.5
5/21/2023 11:35,Luis Severino,5.5
5/21/2023 13:40,Max Scherzer,5.5
5/21/2023 13:35,Merrill Kelly,5.5
5/21/2023 16:10,Michael Wacha,4.5
5/21/2023 16:07,Pablo Lopez,7.5
5/21/2023 13:35,Roansy Contreras,3.5
5/21/2023 16:07,Shohei Ohtani,8.5
5/21/2023 13:35,Taijuan Walker,4.5
5/21/2023 13:40,Tanner Bibee,4.5
5/22/2023 19:40,Bailey Ober,5.5
5/22/2023 19:40,Brady Singer,4.5
5/22/2023 18:40,Brandon Williamson,4.5
5/22/2023 19:20,Charlie Morton,6.5
5/22/2023 18:40,Chris Bassitt,4.5
5/22/2023 19:40,Corbin Burnes,6.5
5/22/2023 19:40,Cristian Javier,6.5
5/22/2023 18:35,Dane Dunning,4.5
5/22/2023 20:40,Edward Cabrera,4.5
5/22/2023 19:20,Gavin Stone,3.5
5/22/2023 18:40,Jordan Montgomery,5.5
5/22/2023 21:40,Kyle Muller,4.5
5/22/2023 21:40,Luis Castillo,7.5
5/22/2023 18:35,Luis Ortiz,4.5
5/22/2023 19:40,Michael Lorenzen,4.5
5/22/2023 21:38,Tanner Houck,4.5
5/22/2023 18:40,Tommy Henry,4.5
5/22/2023 18:40,Zack Wheeler,6.5
5/23/2023 18:40,Adam Wainwright,4.5
5/23/2023 19:40,Alex Cobb,5.5
5/23/2023 20:40,Austin Gomber,3.5
5/23/2023 19:20,Bobby Miller,3.5
5/23/2023 21:38,Brayan Bello,5.5
5/23/2023 19:40,Colin Rea,3.5
5/23/2023 19:40,Drew Smyly,4.5
5/23/2023 18:10,Dylan Cease,5.5
5/23/2023 20:40,Eury Perez,4.5
5/23/2023 19:05,Gerrit Cole,7.5
5/23/2023 18:40,Graham Ashcraft,3.5
5/23/2023 21:38,Griffin Canning,4.5
5/23/2023 19:40,J.P. France,4.5
5/23/2023 18:40,Jose Berrios,4.5
5/23/2023 19:40,Kodai Senga,5.5
5/23/2023 19:05,Kyle Bradish,5.5
5/23/2023 18:10,Logan Allen,5.5
5/23/2023 21:40,Luis Medina,4.5
5/23/2023 19:05,MacKenzie Gore,5.5
5/23/2023 21:40,Marco Gonzales,4.5
5/23/2023 18:40,Matt Strahm,4.5
5/23/2023 18:35,Nathan Eovaldi,5.5
5/23/2023 18:35,Rich Hill,4.5
5/23/2023 18:40,Ryne Nelson,3.5
5/23/2023 19:40,Sonny Gray,6.5
5/23/2023 19:20,Spencer Strider,8.5
5/23/2023 18:40,Taj Bradley,4.5
5/23/2023 19:05,Yu Darvish,5.5
5/24/2023 13:10,Adrian Houser,3.5
5/24/2023 13:10,Anthony DeSclafani,5.5
5/24/2023 13:10,Brandon Bielak,4.5
5/24/2023 19:20,Bryce Elder,4.5
5/24/2023 21:40,Bryce Miller,5.5
5/24/2023 13:10,Cal Quantrill,4.5
5/24/2023 21:38,James Paxton,5.5
5/24/2023 13:10,Joe Ryan,6.5
5/24/2023 12:35,Johan Oviedo,4.5
5/24/2023 21:40,Ken Waldichuk,5.5
5/24/2023 12:35,Martin Perez,3.5
5/24/2023 19:40,Matt Boyd,4.5
5/24/2023 13:10,Michael Kopech,4.5
5/24/2023 19:05,Nestor Cortes,5.5
5/24/2023 13:05,Ranger Suarez,4.5
5/24/2023 20:40,Sandy Alcantara,5.5
5/24/2023 18:40,Shane McClanahan,5.5
5/24/2023 18:40,Steven Matz,5.5
5/24/2023 19:20,Tony Gonsolin,4.5
5/24/2023 19:05,Trevor Williams,3.5
5/24/2023 21:38,Tyler Anderson,4.5
5/24/2023 19:05,Tyler Wells,4.5
5/24/2023 18:40,Yusei Kikuchi,4.5
5/24/2023 13:05,Zac Gallen,6.5
5/24/2023 19:40,Zack Greinke,3.5
5/25/2023 19:20,Aaron Nola,5.5
5/25/2023 13:10,Alek Manoah,5.5
5/25/2023 18:40,Alex Faedo,4.5
5/25/2023 16:05,Blake Snell,5.5
5/25/2023 15:10,Braxton Garrett,4.5
5/25/2023 19:40,Carlos Carrasco,4.5
5/25/2023 19:05,Clarke Schmidt,4.5
5/25/2023 19:20,Dylan Dodd,3.5
5/25/2023 21:40,JP Sears,5.5
5/25/2023 16:05,Jake Irvin,3.5
5/25/2023 15:10,Kyle Freeland,3.5
5/25/2023 19:05,Kyle Gibson,4.5
5/25/2023 19:40,Kyle Hendricks,3.5
5/25/2023 21:40,Logan Gilbert,7.5
5/25/2023 18:40,Lucas Giolito,5.5
5/25/2023 12:35,Luke Weaver,4.5
5/25/2023 12:35,Miles Mikolas,4.5
5/25/2023 13:10,Zach Eflin,4.5
5/26/2023 20:10,Alex Wood,5.5
5/26/2023 21:40,Brandon Pfaadt,3.5
5/26/2023 21:40,Chris Sale,6.5
