,dtype
Player_Martin Perez,float64
Player_Martín Pérez,float64
Player_Mason Englert,float64
Player_Mason Miller,float64
Player_Matt Barnes,float64
Player_Matt Brash,float64
Player_Matt Bush,float64
Player_Matt Dermody,float64
Player_Matt Manning,float64
Player_Matt Strahm,float64
Player_Matt Swarmer,float64
Player_Matt Wisler,float64
Player_Matthew Boyd,float64
Player_Matthew Liberatore,float64
Player_Mauricio Llovera,float64
Player_Max Castillo,float64
Player_Max Fried,float64
Player_Max Meyer,float64
Player_Max Scherzer,float64
Player_Merrill Kelly,float64
Player_Michael Grove,float64
Player_Michael Kopech,float64
Player_Michael Lorenzen,float64
Player_Michael Pineda,float64
Player_Michael Soroka,float64
Player_Michael Wacha,float64
Player_Miguel Yajure,float64
Player_Mike Baumann,float64
Player_Mike Clevinger,float64
Player_Mike Mayers,float64
Player_Mike Minor,float64
Player_Miles Mikolas,float64
Player_Mitch Keller,float64
Player_Mitch White,float64
Player_Nabil Crismatt,float64
Player_Nathan Eovaldi,float64
Player_Nestor Cortes,float64
Player_Nick Lodolo,float64
Player_Nick Martinez,float64
Player_Nick Neidert,float64
Player_Nick Nelson,float64
Player_Nick Pivetta,float64
Player_Noah Davis,float64
Player_Noah Syndergaard,float64
Player_Osvaldo Bido,float64
Player_Pablo Lopez,float64
Player_Pablo López,float64
Player_Packy Naughton,float64
Player_Paolo Espino,float64
Player_Patrick Corbin,float64
Player_Patrick Sandoval,float64
Player_Paul Blackburn,float64
Player_Penn Murfee,float64
Player_Peyton Battenfield,float64
Player_Randy Vásquez,float64
Player_Ranger Suarez,float64
Player_Ranger Suárez,float64
Player_Reese Olson,float64
Player_Reid Detmers,float64
Player_Reiss Knehr,float64
Player_Reiver Sanmartin,float64
Player_Reynaldo Lopez,float64
Player_Rich Hill,float64
Player_Richard Bleier,float64
Player_Roansy Contreras,float64
Player_Robbie Ray,float64
Player_Robert Dugger,float64
Player_Ronel Blanco,float64
Player_Rony Garcia,float64
Player_Ross Stripling,float64
Player_Ryan Feltner,float64
Player_Ryan Pepiot,float64
Player_Ryan Weathers,float64
Player_Ryan Yarbrough,float64
Player_Ryne Nelson,float64
Player_Sam Long,float64
Player_Sam Moll,float64
Player_Sandy Alcantara,float64
Player_Scott Alexander,float64
Player_Scott Effross,float64
Player_Sean Manaea,float64
Player_Sean Newcomb,float64
Player_Seth Lugo,float64
Player_Shane Baz,float64
Player_Shane Bieber,float64
Player_Shane McClanahan,float64
Player_Shawn Armstrong,float64
Player_Shintaro Fujinami,float64
Player_Shohei Ohtani,float64
Player_Sonny Gray,float64
Player_Spencer Howard,float64
Player_Spencer Strider,float64
Player_Spencer Turnbull,float64
Player_Spenser Watkins,float64
Player_Stephen Strasburg,float64
Player_Steven Matz,float64
Player_Steven Wilson,float64
Player_T.J. Zeuch,float64
Player_Taijuan Walker,float64
Player_Taj Bradley,float64
Player_Tanner Bibee,float64
Player_Tanner Houck,float64
Player_Tarik Skubal,float64
Player_Taylor Clarke,float64
Player_Taylor Hearn,float64
Player_Thomas Hatch,float64
Player_Thomas Szapucki,float64
Player_Tommy Henry,float64
Player_Tommy Milone,float64
Player_Tommy Nance,float64
Player_Tommy Romero,float64
Player_Tony Gonsolin,float64
Player_Touki Toussaint,float64
Player_Trevor Kelley,float64
Player_Trevor Richards,float64
Player_Trevor Rogers,float64
Player_Trevor Williams,float64
Player_Triston McKenzie,float64
Player_Tucker Davidson,float64
Player_Ty Blach,float64
Player_Tyler Alexander,float64
Player_Tyler Anderson,float64
Player_Tyler Beede,float64
Player_Tyler Gilbert,float64
Player_Tyler Glasnow,float64
Player_Tyler Holton,float64
Player_Tyler Mahle,float64
Player_Tyler Wells,float64
Player_Tylor Megill,float64
Player_Tyson Miller,float64
Player_Victor González,float64
Player_Vince Velasquez,float64
Player_Vladimir Gutiérrez,float64
Player_Wade Miley,float64
Player_Walker Buehler,float64
Player_Wil Crowe,float64
Player_Will Vest,float64
Player_Wily Peralta,float64
Player_Xzavion Curry,float64
Player_Yonny Chirinos,float64
Player_Yu Darvish,float64
Player_Yusei Kikuchi,float64
Player_Zac Gallen,float64
Player_Zach Davies,float64
Player_Zach Eflin,float64
Player_Zach Logue,float64
Player_Zach Plesac,float64
Player_Zach Thompson,float64
Player_Zack Greinke,float64
Player_Zack Thompson,float64
Player_Zack Wheeler,float64
venue_2:20,float64
venue_2:23,float64
venue_2:28,float64
venue_2:36,float64
venue_2:40,float64
venue_2:41,float64
venue_2:43,float64
venue_2:46,float64
venue_2:49,float64
venue_2:53,float64
venue_2:54,float64
venue_2:56,float64
venue_2:58,float64
venue_3:00,float64
venue_3:09,float64
venue_3:12,float64
venue_3:15,float64
venue_3:17,float64
venue_3:23,float64
venue_3:33,float64
venue_4:03,float64
venue_Alfredo Harp Helú Stadium,float64
venue_American Family Field,float64
venue_Angel Stadium of Anaheim,float64
venue_Busch Stadium III,float64
venue_Chase Field,float64
venue_Citi Field,float64
venue_Citizens Bank Park,float64
venue_Comerica Park,float64
venue_Coors Field,float64
venue_Dodger Stadium,float64
venue_Fenway Park,float64
venue_Field of Dreams,float64
venue_Globe Life Field,float64
venue_Great American Ball Park,float64
venue_Guaranteed Rate Field,float64
venue_Kauffman Stadium,float64
venue_Minute Maid Park,float64
venue_Muncy Bank Ballpark,float64
venue_Nationals Park,float64
venue_Oracle Park,float64
venue_Oriole Park at Camden Yards,float64
venue_PNC Park,float64
venue_Petco Park,float64
venue_Progressive Field,float64
venue_RingCentral Coliseum,float64
venue_Rogers Centre,float64
venue_T-Mobile Park,float64
venue_Target Field,float64
venue_Tropicana Field,float64
venue_Truist Park,float64
venue_Wrigley Field,float64
venue_Yankee Stadium III,float64
venue_loanDepot park,float64
Opposing_Team_Arizona Diamondbacks,float64
Opposing_Team_Atlanta Braves,float64
Opposing_Team_Baltimore Orioles,float64
Opposing_Team_Boston Red Sox,float64
Opposing_Team_Chicago Cubs,float64
Opposing_Team_Chicago White Sox,float64
Opposing_Team_Cincinnati Reds,float64
Opposing_Team_Cleveland Guardians,float64
Opposing_Team_Colorado Rockies,float64
Opposing_Team_Detroit Tigers,float64
Opposing_Team_Houston Astros,float64
Opposing_Team_Kansas City Royals,float64
Opposing_Team_Los Angeles Angels,float64
Opposing_Team_Los Angeles Dodgers,float64
Opposing_Team_Miami Marlins,float64
Opposing_Team_Milwaukee Brewers,float64
Opposing_Team_Minnesota Twins,float64
Opposing_Team_New York Mets,float64
Opposing_Team_New York Yankees,float64
Opposing_Team_Oakland Athletics,float64
Opposing_Team_Philadelphia Phillies,float64
Opposing_Team_Pittsburgh Pirates,float64
Opposing_Team_San Diego Padres,float64
Opposing_Team_San Francisco Giants,float64
Opposing_Team_Seattle Mariners,float64
Opposing_Team_St. Louis Cardinals,float64
Opposing_Team_Tampa Bay Rays,float64
Opposing_Team_Texas Rangers,float64
Opposing_Team_Toronto Blue Jays,float64
Opposing_Team_Washington Nationals,float64
home_away_away,float64
home_away_home,float64
Player,object
